,classes,locations
0,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-01-01-01-01-01.wav
1,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-01-01-01-02-01.wav
2,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-01-01-02-01-01.wav
3,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-01-01-02-02-01.wav
4,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-01-01-01-01.wav
5,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-01-01-02-01.wav
6,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-01-02-01-01.wav
7,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-01-02-02-01.wav
8,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-02-01-01-01.wav
9,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-02-01-02-01.wav
10,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-02-02-01-01.wav
11,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-02-02-02-02-01.wav
12,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-01-01-01-01.wav
13,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-01-01-02-01.wav
